frame,x,y,roll,pitch,yaw
10,509,303,-96.05677708609956,-12.720353122462763,-64.82404137273898
15,488,205,-92.22245106298753,-4.432112132159463,-63.40317263291145
20,467,176,-92.1580579882608,-2.8644711975897086,-53.016000546786714
25,542,181,-100.61504103655875,-20.95221862063641,-63.92025476910325
25,542,183,-92.51128070905081,-3.6897327782809946,-55.780081670508046
30,727,190,-90.7850842387709,-4.395954626190373,-79.89300893159275
35,904,187,-89.67360158020335,177.36352592397415,-97.05251583301764
40,885,193,-93.27106261609703,-144.15407413055402,-94.52329109623955
45,819,188,-84.94406023102466,169.53387847209285,-115.59141284159665
50,741,181,-65.46910827029836,166.11023662220208,-151.54922174911022
55,571,228,-44.52834441460623,169.02531491091227,-169.200281194217
60,344,285,-24.078500771452266,161.40292341489877,-171.44886949459274
60,361,276,-66.54599550624322,169.6385195915472,-157.1481345350996
65,203,300,-73.18183427242988,170.1112579982212,-150.02653631861693
70,360,258,-63.18162549032181,170.72079436959638,-162.0898390885782
75,543,212,-58.98500053340872,172.58847236809876,-167.7914234281508
80,593,200,-60.32981317526488,173.11233997109125,-168.02875542579858
85,616,203,-68.54762498773334,174.34847479313632,-165.86482516105642
90,656,231,-75.02978685976991,175.60432884565088,-163.9611278006476
95,727,256,-80.57690165588829,177.46891544064522,-165.08544773689187
100,779,266,-80.84102054711568,177.722718645334,-166.14467716568828
105,741,268,-76.59842680080621,176.9729090637965,-167.48616470448925
110,625,278,-75.46324635709881,175.9930097535989,-164.8826295265429
115,494,284,-69.44214272921792,174.78947475338902,-166.3334005115443
120,357,308,-57.72670948049828,171.7245023260989,-167.03021304415822
120,362,304,-76.27481849266886,174.7487170800356,-159.37819025439202
125,251,337,-77.67638490112721,173.9950457809355,-154.28923341421745
130,194,353,-76.69860761462999,173.7813110811299,-155.2548562130404
135,185,377,-74.99462573943747,172.6154728742211,-154.19611492424232
140,196,376,-75.31379863194576,173.04546343360104,-155.04208899793437
145,258,339,-72.6324237542311,173.63887888316702,-160.38175653431452
155,620,235,-55.80153885759468,173.52768503734225,-170.52240683041026
160,756,211,-37.65768156938076,171.3960245266062,-173.34003135375158
165,780,234,-56.877552045195486,172.2990827698092,-168.29110324658572
170,763,241,-72.54121394000025,174.8665210960142,-164.0584517007161
175,717,251,-80.56821496210472,173.3976861905855,-145.13279568973394
180,702,221,-82.42704165026667,160.97778563548985,-111.08782147276948
185,677,213,-84.53889047789573,17.480287828508015,-73.11268566644041
190,680,183,-88.97643136408858,1.3549031712791575,-52.93279306191615
195,713,191,-93.02736771351435,-3.061836315389145,-45.324936830226875
200,756,208,-100.44515354948433,-21.065461440061764,-64.42372679918027
200,759,206,-92.14517686524715,-4.102424106775722,-62.42396659637692
205,813,426,-92.95571460116648,-7.447098573147717,-68.44559848816607
210,820,476,-89.49835384178805,1.5640194101710725,-72.22050402040321
215,817,438,-87.40979635506875,6.361562010186712,-67.91432522010527
220,802,422,-82.94512431648019,15.215580725175041,-65.53389969225327
225,776,397,-80.47463868407307,16.3912319273711,-60.29740817180318
230,773,394,-84.74055071063503,19.943844445501437,-75.76505206322733
230,768,392,-80.79376211311347,17.274373069382246,-62.47200108955702
235,793,369,-79.45655736244163,24.5211882505846,-67.80401733213132
240,898,403,-75.16430380389654,129.11081896293086,-102.15269500472233
245,958,332,-82.7082936550011,143.41158660975518,-99.77971887535944
250,948,315,-81.1163921338025,139.0740348124298,-100.21927095605429
255,932,294,-79.7788373741518,133.01711958225314,-99.55013720022448
260,941,316,-77.60505096627183,132.809491049066,-101.50694822154335
265,919,305,-74.40192063101685,143.07993142170278,-110.38239431708054
270,812,347,-42.69325955309335,131.11651013721544,-133.41460813299244
275,812,378,-27.267333583408114,135.53879641350437,-153.16912117641425
280,840,327,-59.27489298534394,162.56414630702133,-152.1469613956061
285,969,287,-81.9394468735679,159.32063559799465,-110.56567326895961
290,1153,386,-94.87316110898166,-159.73683561078403,-103.0038823345084
295,1160,377,-103.21945321134888,-174.66298448396978,-158.31298426345325
